Fecha,HR_COUNTER1,HR_COUNTER2
44830,10248,10248
44831,0,0
44832,12923,12923
44833,4381,4381
44834,0,0
44835,0,0
44836,0,0
44837,7155,7155
44838,16645,16645
44839,8666,8666
44840,7572,7572
44841,0,0
44842,0,0
44843,0,0
44844,0,0
44845,688,688
44846,1561,1561
44847,2555,2555
44848,0,0
44849,0,0
44850,0,0
44851,7924,7924
44852,2860,2860
44853,12992,12992
44854,2737,2737
44855,0,0
44856,0,0
44857,0,0
44858,1538,1538
44859,1178,1178
44860,3025,3025
44861,3731,3731
44862,3951,3951
44863,0,0
44864,0,0
44865,0,0
44866,6294,6294
44867,2584,2584
44868,10029,10029
44869,8916,8916
44870,0,0
44871,0,0
44872,9260,9260
44873,6230,6230
44874,0,0
44875,6797,6797
44876,2984,2984
44877,0,0
44878,0,0
44879,0,0
44880,2602,2602
44881,0,0
44882,0,0
44883,0,0
44884,0,0
44885,0,0
44886,0,0
44887,7863,7863
44888,12360,12360
44889,758,758
44890,5156,5156
44891,0,0
44892,0,0
44893,4464,4464
44894,5273,5273
44895,0,0
44896,4280,4280
44897,1277,1277
44898,0,0
44899,0,0
44900,0,0
44901,6611,6611
44902,0,0
44903,0,0
44904,0,0
44905,0,0
44906,0,0
44907,838,838
44908,2624,2624
44909,2094,2094
44910,,
44911,3822,3822
44912,,
44913,,
44914,,
44915,,
44916,11187,11187
44917,18457,18457
44918,532,532
44919,,
44920,,
44921,12088,12088
44922,16817,16817
44923,11080,11080
44924,,
44925,,
44926,,
44927,,
44928,7882,7882
44929,4044,4044
44930,6816,6816
44931,0,0
44932,0,0
44933,0,0
44934,0,0
44935,8906,8906
44936,6062,6062
44937,3964,3964
44938,270,270
44939,0,0
44940,0,0
44941,0,0
44942,0,0
44943,0,0
44944,8145,8145
44945,4693,4693
44946,0,0
44947,0,0
44948,0,0
44949,5027,5027
44950,721,721
44951,721,721
44952,722,722
44953,0,0
44954,0,0
44955,0,0
44956,7043,7043
44957,2878,2878
44958,9656,9656
44959,18255,18255
44960,0,0
44961,,
44962,,
44963,13868,13868
44964,9583,9583
44965,4761,4761
44966,5515,5515
44967,0,0
44968,0,0
44969,0,0
44970,7217,7217
44971,5348,5348
44972,3155,3155
44973,277,277
44974,0,0
44975,0,0
44976,0,0
44977,0,0
44978,0,0
44979,6435,6435
44980,12150,12150
44981,510,510
44982,10195,10195
44983,11647,11647
44984,0,0
44985,0,0
44986,0,0
44987,0,0
44988,0,0
44989,,
44990,,
44991,0,0
44992,11766,11766
44993,5841,5841
44994,5336,5336
44995,0,0
44996,0,0
44997,0,0
44998,8374,8374
44999,3030,3030
45000,8305,8305
45001,9352,9352
45002,,
45003,,
45004,,
45005,5242,5242
45006,501,501
45007,,
45008,,
45009,,
45010,,
45011,,
45012,5336,5336
45013,2242,2242
45014,3901,3901
45015,76,76
45016,,
45017,,
45018,,
45019,772,772
45020,2628,2628
45021,2289,2289
45022,,
45023,,
45024,,
45025,,
45026,5592,5592
45027,362,362
45028,2505,2505
45029,936,936
45030,7389,7389
45031,,
45032,,
45033,,
45034,2224,2224
45035,,
45036,,
45037,,
45038,,
45039,,
45040,,
45041,2148,2148
45042,2671,2671
45043,,
45044,,
45045,,
45046,,
45047,,
45048,2750,2750
45049,543,543
45050,,
45051,,
45052,,
45053,,
45054,3770,3770
45055,,
45056,3361,3361
45057,5711,5711
45058,,
45059,,
45060,,
45061,5670,5670
45062,3201,3201
45063,,
45064,,
45065,,
45066,,
45067,,
45068,6220,6220
45069,,
45070,,
45071,,
45072,,
45073,,
45074,,
45075,649,649
45076,7738,7738
45077,4823,4823
45078,5528,5528
45079,0,0
45080,0,0
45081,0,0
45082,1311,1311
45083,878,878
45084,6998,6998
45085,5897,5897
45086,0,0
45087,0,0
45088,0,0
45089,1015,1015
45090,1533,1533
45091,363,363
45092,490,490
45093,0,0
45094,0,0
45095,0,0
45096,0,0
45097,0,0
45098,450,450
45099,3754,3754
45100,2930,2930
45101,0,0
45102,0,0
45103,1526,1526
45104,5982,5982
45105,7616,7616
45106,8959,8959
45107,0,0
45108,0,0
45109,0,0
45110,13030,13030
45111,0,0
45112,275,275
45113,0,0
45114,0,0
45115,0,0
45116,0,0
45117,0,0
45118,0,0
45119,0,0
45120,0,0
45121,0,0
45122,0,0
45123,0,0
45124,0,0
45125,0,0
45126,0,0
45127,0,0
45128,0,0
45129,0,0
45130,0,0
45131,0,0
45132,4720,4720
45133,1180,1180
45134,7474,7474
45135,0,0
45136,0,0
45137,0,0
45138,0,0
45139,0,0
45140,0,0
45141,0,0
45142,0,0
45143,0,0
45144,0,0
45145,0,0
45146,0,0
45147,0,0
45148,0,0
45149,0,0
45150,0,0
45151,0,0
45152,0,0
45153,0,0
45154,0,0
45155,0,0
45156,0,0
45157,0,0
45158,0,0
45159,0,0
45160,0,0
45161,0,0
45162,0,0
45163,0,0
45164,0,0
45165,0,0
45166,0,0
45167,0,0
45168,0,0
45169,0,0
45170,0,0
45171,0,0
45172,0,0
45173,0,0
45174,0,0
45175,0,0
45176,0,0
45177,0,0
45178,0,0
45179,0,0
45180,0,0
45181,214,214
45182,2216,2216
45183,2119,2119
45184,7921,7921
45185,5602,5602
45186,10629,10629
45187,5126,5126
45188,117,117
45189,597,597
45190,401,401
45191,4127,4127
45192,0,0
45193,0,0
45194,0,0
45195,0,0
45196,0,0
45197,0,0
45198,0,0
45199,0,0
45200,0,0
45201,0,0
45202,0,0
45203,0,0
45204,0,0
45205,0,0
45206,0,0
45207,0,0
45208,0,0
45209,0,0
45210,0,0
45211,843,843
45212,0,0
45213,0,0
45214,0,0
45215,0,0
45216,4547,4547
45217,3039,3039
45218,4592,4592
45219,0,0
45220,0,0
45221,0,0
45222,0,0
45223,6195,6195
45224,3651,3651
45225,0,0
45226,2278,2278
45227,0,0
45228,0,0
45229,2888,2888
45230,0,0
45231,2741,2741
45232,0,0
45233,6155,6155
45234,0,0
45235,0,0
45236,525,525
45237,4788,4788
45238,50,50
45239,466,466
45240,0,0
45241,0,0
45242,0,0
45243,950,950
45244,10729,10729
45245,23118,23118
45246,16065,16065
45247,15879,15879
45248,0,0
45249,0,0
45250,0,0
45251,0,0
45252,513,513
45253,0,0
45254,0,0
45255,0,0
45256,0,0
45257,3428,3428
45258,12861,12861
45259,6668,6668
45260,7041,7041
45261,11956,11956
45262,0,0
45263,0,0
45264,8683,8683
45265,12973,12973
45266,6076,6076
45267,18631,18631
45268,0,0
45269,0,0
45270,0,0
45271,11628,11628
45272,16824,16824
45273,6521,6521
45274,0,0
45275,0,0
45276,0,0
45277,0,0
45278,0,0
45279,0,0
45280,703,703
45281,3931,3931
45282,0,0
45283,0,0
45284,0,0
45285,0,0
45286,0,0
45287,4290,4290
45288,6067,6067
45289,0,0
45290,0,0
45291,0,0
45292,0,0
45293,0,0
45294,5359,5359
45295,0,0
45296,0,0
45297,0,0
45298,0,0
45299,3337,3337
45300,5311,5311
45301,1215,1215
45302,6864,6864
45303,0,0
45304,0,0
45305,0,0
45306,1967,1967
45307,5987,5987
45308,4790,4790
45309,225,225
45310,0,0
45311,0,0
45312,0,0
45313,0,0
45314,0,0
45315,0,0
45316,129,129
45317,0,0
45318,0,0
45319,0,0
45320,167,167
45321,2840,2840
45322,1138,1138
45323,0,0
45324,0,0
45325,0,0
45326,0,0
45327,0,0
45328,3094,3094
45329,0,0
45330,0,0
45331,0,0
45332,0,0
45333,0,0
45334,0,0
45335,0,0
45336,0,0
45337,186,186
45338,0,0
45339,0,0
45340,0,0
45341,326,326
45342,2935,2935
45343,3809,3809
